,image_1,image_2,cosine_similarity,numerosity_1,numerosity_2,area_diff,numerosity_comparison_type,layer
361,stimulus_15649.png,stimulus_34568.png,0.8689121,10.0,22.0,66.0,different,last
362,stimulus_4350.png,stimulus_11860.png,0.8422861,3.0,8.0,64.0,different,last
363,stimulus_25702.png,stimulus_49634.png,0.8754946,17.0,32.0,0.0,different,last
364,stimulus_17277.png,stimulus_30041.png,0.9436867,11.0,19.0,2.0,different,last
365,stimulus_4532.png,stimulus_32563.png,0.652254,3.0,21.0,122.0,different,last
366,stimulus_32377.png,stimulus_37977.png,0.7961963,21.0,24.0,126.0,different,last
367,stimulus_35081.png,stimulus_40937.png,0.97133976,22.0,26.0,96.0,different,last
368,stimulus_15252.png,stimulus_40651.png,0.92627376,10.0,26.0,28.0,different,last
369,stimulus_41583.png,stimulus_49634.png,0.6290177,26.0,32.0,223.0,different,last
370,stimulus_10496.png,stimulus_22144.png,0.8875028,7.0,14.0,63.0,different,last
371,stimulus_30409.png,stimulus_48200.png,0.8430954,20.0,31.0,32.0,different,last
372,stimulus_10496.png,stimulus_32114.png,0.67650056,7.0,21.0,129.0,different,last
373,stimulus_441.png,stimulus_45079.png,0.5086272,1.0,29.0,26.0,different,last
374,stimulus_24699.png,stimulus_35081.png,0.96489424,16.0,22.0,130.0,different,last
375,stimulus_4350.png,stimulus_26367.png,0.72272164,3.0,17.0,62.0,different,last
376,stimulus_10777.png,stimulus_16640.png,0.94510704,7.0,11.0,68.0,different,last
377,stimulus_16028.png,stimulus_46475.png,0.84108204,11.0,30.0,0.0,different,last
378,stimulus_12795.png,stimulus_12964.png,0.7416543,8.0,9.0,227.0,different,last
379,stimulus_2313.png,stimulus_23659.png,0.60502917,2.0,15.0,84.0,different,last
380,stimulus_6931.png,stimulus_11860.png,0.8856634,5.0,8.0,36.0,different,last
381,stimulus_32001.png,stimulus_43337.png,0.9342248,21.0,28.0,0.0,different,last
382,stimulus_3438.png,stimulus_43021.png,0.62624633,3.0,27.0,190.0,different,last
383,stimulus_13587.png,stimulus_31079.png,0.9476046,9.0,20.0,5.0,different,last
384,stimulus_18474.png,stimulus_42058.png,0.8842291,12.0,27.0,63.0,different,last
385,stimulus_8232.png,stimulus_37260.png,0.8532964,6.0,24.0,29.0,different,last
386,stimulus_37841.png,stimulus_37977.png,0.9743693,24.0,24.0,3.0,same,last
387,stimulus_16652.png,stimulus_28523.png,0.9133729,11.0,18.0,93.0,different,last
388,stimulus_28572.png,stimulus_35812.png,0.93656075,18.0,23.0,102.0,different,last
389,stimulus_18092.png,stimulus_41076.png,0.92397714,12.0,26.0,95.0,different,last
390,stimulus_24020.png,stimulus_46923.png,0.85895246,16.0,30.0,63.0,different,last
391,stimulus_5580.png,stimulus_32545.png,0.72556496,4.0,21.0,26.0,different,last
392,stimulus_22785.png,stimulus_23255.png,0.8727795,15.0,15.0,94.0,same,last
393,stimulus_4561.png,stimulus_36218.png,0.64308983,3.0,23.0,23.0,different,last
394,stimulus_4394.png,stimulus_19773.png,0.8253462,3.0,13.0,97.0,different,last
395,stimulus_17274.png,stimulus_21344.png,0.94892913,11.0,14.0,127.0,different,last
396,stimulus_11790.png,stimulus_33275.png,0.82912385,8.0,21.0,126.0,different,last
397,stimulus_41427.png,stimulus_43719.png,0.85027283,26.0,28.0,164.0,different,last
398,stimulus_20272.png,stimulus_42659.png,0.9574859,13.0,27.0,1.0,different,last
399,stimulus_31688.png,stimulus_48200.png,0.7841184,20.0,31.0,158.0,different,last
400,stimulus_499.png,stimulus_6015.png,0.6177884,1.0,4.0,128.0,different,last
401,stimulus_25240.png,stimulus_31086.png,0.9459415,16.0,20.0,97.0,different,last
402,stimulus_40651.png,stimulus_51081.png,0.928855,26.0,32.0,126.0,different,last
403,stimulus_24020.png,stimulus_26367.png,0.77086294,16.0,17.0,97.0,different,last
404,stimulus_4350.png,stimulus_26752.png,0.7385507,3.0,17.0,3.0,different,last
405,stimulus_32190.png,stimulus_45822.png,0.67508733,21.0,29.0,158.0,different,last
406,stimulus_506.png,stimulus_12582.png,0.5466241,1.0,8.0,135.0,different,last
407,stimulus_6193.png,stimulus_49620.png,0.5410966,4.0,32.0,185.0,different,last
408,stimulus_43655.png,stimulus_50730.png,0.9132712,28.0,32.0,96.0,different,last
409,stimulus_31138.png,stimulus_35857.png,0.98447067,20.0,23.0,3.0,different,last
410,stimulus_7646.png,stimulus_28253.png,0.85475874,5.0,18.0,25.0,different,last
411,stimulus_11195.png,stimulus_40937.png,0.84476894,7.0,26.0,97.0,different,last
412,stimulus_32563.png,stimulus_37841.png,0.9263303,21.0,24.0,98.0,different,last
413,stimulus_8915.png,stimulus_18711.png,0.87119377,6.0,12.0,37.0,different,last
414,stimulus_9679.png,stimulus_14250.png,0.78744185,7.0,9.0,218.0,different,last
415,stimulus_1598.png,stimulus_2729.png,0.83988214,1.0,2.0,75.0,different,last
416,stimulus_18982.png,stimulus_25691.png,0.602071,12.0,17.0,186.0,different,last
417,stimulus_9652.png,stimulus_17274.png,0.77649915,7.0,11.0,188.0,different,last
418,stimulus_45822.png,stimulus_50043.png,0.880226,29.0,32.0,95.0,different,last
419,stimulus_4948.png,stimulus_37148.png,0.79641896,4.0,24.0,32.0,different,last
420,stimulus_10480.png,stimulus_41076.png,0.8876404,7.0,26.0,31.0,different,last
421,stimulus_25419.png,stimulus_45577.png,0.9004224,16.0,29.0,128.0,different,last
422,stimulus_5833.png,stimulus_43719.png,0.744061,4.0,28.0,94.0,different,last
423,stimulus_10763.png,stimulus_24660.png,0.93209946,7.0,16.0,63.0,different,last
424,stimulus_7654.png,stimulus_15653.png,0.8716265,5.0,10.0,1.0,different,last
425,stimulus_4678.png,stimulus_20937.png,0.6575412,3.0,14.0,220.0,different,last
426,stimulus_13110.png,stimulus_35294.png,0.7920415,9.0,23.0,33.0,different,last
427,stimulus_506.png,stimulus_43021.png,0.3683714,1.0,27.0,165.0,different,last
428,stimulus_41469.png,stimulus_46060.png,0.97813654,26.0,29.0,34.0,different,last
429,stimulus_17816.png,stimulus_48552.png,0.87565637,12.0,31.0,34.0,different,last
430,stimulus_30809.png,stimulus_48203.png,0.87458783,20.0,31.0,32.0,different,last
431,stimulus_3693.png,stimulus_31442.png,0.6802197,3.0,20.0,88.0,different,last
432,stimulus_4092.png,stimulus_20431.png,0.6723989,3.0,13.0,70.0,different,last
433,stimulus_20937.png,stimulus_47963.png,0.67319757,14.0,30.0,226.0,different,last
434,stimulus_1915.png,stimulus_18341.png,0.73195785,2.0,12.0,61.0,different,last
435,stimulus_5823.png,stimulus_32028.png,0.54632574,4.0,21.0,157.0,different,last
436,stimulus_18175.png,stimulus_31079.png,0.9643399,12.0,20.0,32.0,different,last
437,stimulus_5408.png,stimulus_12291.png,0.85592824,4.0,8.0,62.0,different,last
438,stimulus_20292.png,stimulus_44982.png,0.6787323,13.0,29.0,160.0,different,last
439,stimulus_15812.png,stimulus_30556.png,0.61384493,10.0,20.0,225.0,different,last
440,stimulus_20894.png,stimulus_45706.png,0.69771445,14.0,29.0,126.0,different,last
441,stimulus_5945.png,stimulus_7153.png,0.8683521,4.0,5.0,66.0,different,last
442,stimulus_5567.png,stimulus_8281.png,0.9351099,4.0,6.0,64.0,different,last
443,stimulus_16379.png,stimulus_19952.png,0.952633,11.0,13.0,60.0,different,last
444,stimulus_6559.png,stimulus_30092.png,0.7511272,5.0,19.0,193.0,different,last
445,stimulus_6750.png,stimulus_26752.png,0.7869407,5.0,17.0,130.0,different,last
446,stimulus_14165.png,stimulus_28942.png,0.6899388,9.0,19.0,189.0,different,last
447,stimulus_32114.png,stimulus_36099.png,0.72166806,21.0,23.0,127.0,different,last
448,stimulus_20720.png,stimulus_44717.png,0.91975504,13.0,28.0,1.0,different,last
449,stimulus_37841.png,stimulus_50730.png,0.975959,24.0,32.0,2.0,different,last
450,stimulus_15653.png,stimulus_45852.png,0.9163819,10.0,29.0,36.0,different,last
451,stimulus_11860.png,stimulus_49023.png,0.8859647,8.0,31.0,63.0,different,last
452,stimulus_1759.png,stimulus_48536.png,0.64119977,2.0,31.0,61.0,different,last
453,stimulus_11447.png,stimulus_45852.png,0.765411,8.0,29.0,127.0,different,last
454,stimulus_30557.png,stimulus_34921.png,0.569932,20.0,22.0,192.0,different,last
455,stimulus_12170.png,stimulus_34052.png,0.8778062,8.0,22.0,63.0,different,last
456,stimulus_25412.png,stimulus_26405.png,0.97050774,16.0,17.0,96.0,different,last
457,stimulus_10234.png,stimulus_32114.png,0.6885135,7.0,21.0,93.0,different,last
458,stimulus_21413.png,stimulus_45061.png,0.7869343,14.0,29.0,62.0,different,last
459,stimulus_26558.png,stimulus_49861.png,0.81755507,17.0,32.0,95.0,different,last
460,stimulus_42860.png,stimulus_43021.png,0.93311495,27.0,27.0,31.0,same,last
461,stimulus_11267.png,stimulus_44447.png,0.74284565,8.0,28.0,189.0,different,last
462,stimulus_31951.png,stimulus_47480.png,0.9373555,20.0,30.0,61.0,different,last
463,stimulus_17277.png,stimulus_20431.png,0.9584661,11.0,13.0,1.0,different,last
464,stimulus_3151.png,stimulus_40903.png,0.5987186,2.0,26.0,94.0,different,last
465,stimulus_16830.png,stimulus_42468.png,0.9158429,11.0,27.0,0.0,different,last
466,stimulus_1353.png,stimulus_27622.png,0.42555586,1.0,18.0,115.0,different,last
467,stimulus_38155.png,stimulus_39419.png,0.98486006,24.0,25.0,33.0,different,last
468,stimulus_28523.png,stimulus_40073.png,0.597336,18.0,26.0,190.0,different,last
469,stimulus_21804.png,stimulus_43117.png,0.9516239,14.0,27.0,66.0,different,last
470,stimulus_31208.png,stimulus_40903.png,0.96076506,20.0,26.0,3.0,different,last
471,stimulus_24549.png,stimulus_48675.png,0.94917333,16.0,31.0,33.0,different,last
472,stimulus_5486.png,stimulus_29071.png,0.79050916,4.0,19.0,61.0,different,last
473,stimulus_16387.png,stimulus_23162.png,0.94268966,11.0,15.0,65.0,different,last
474,stimulus_3128.png,stimulus_39454.png,0.56928086,2.0,25.0,57.0,different,last
475,stimulus_21517.png,stimulus_23659.png,0.9542156,14.0,15.0,91.0,different,last
476,stimulus_644.png,stimulus_30809.png,0.5684423,1.0,20.0,25.0,different,last
477,stimulus_2867.png,stimulus_28572.png,0.4821854,2.0,18.0,19.0,different,last
478,stimulus_17659.png,stimulus_49111.png,0.6389423,12.0,31.0,161.0,different,last
479,stimulus_1661.png,stimulus_4302.png,0.8055656,2.0,3.0,168.0,different,last
480,stimulus_48669.png,stimulus_48785.png,0.98322165,31.0,31.0,0.0,same,last
481,stimulus_16387.png,stimulus_37148.png,0.908286,11.0,24.0,3.0,different,last
482,stimulus_1353.png,stimulus_12291.png,0.46067017,1.0,8.0,15.0,different,last
483,stimulus_1759.png,stimulus_39625.png,0.57972157,2.0,25.0,186.0,different,last
484,stimulus_27366.png,stimulus_40877.png,0.6533413,18.0,26.0,127.0,different,last
485,stimulus_17277.png,stimulus_21845.png,0.94157404,11.0,14.0,32.0,different,last
486,stimulus_28392.png,stimulus_40073.png,0.6197995,18.0,26.0,162.0,different,last
487,stimulus_2681.png,stimulus_37327.png,0.55920076,2.0,24.0,94.0,different,last
488,stimulus_22531.png,stimulus_40030.png,0.9142444,15.0,26.0,1.0,different,last
489,stimulus_24699.png,stimulus_43343.png,0.6895036,16.0,28.0,95.0,different,last
490,stimulus_21344.png,stimulus_44134.png,0.9448668,14.0,28.0,65.0,different,last
491,stimulus_1915.png,stimulus_32545.png,0.68214685,2.0,21.0,30.0,different,last
492,stimulus_39662.png,stimulus_49634.png,0.6306466,25.0,32.0,197.0,different,last
493,stimulus_14108.png,stimulus_34906.png,0.9038133,9.0,22.0,2.0,different,last
494,stimulus_2681.png,stimulus_34186.png,0.55949974,2.0,22.0,93.0,different,last
495,stimulus_16640.png,stimulus_27021.png,0.94331473,11.0,17.0,128.0,different,last
496,stimulus_18781.png,stimulus_32028.png,0.6554144,12.0,21.0,164.0,different,last
497,stimulus_12547.png,stimulus_25702.png,0.6381208,8.0,17.0,193.0,different,last
498,stimulus_2394.png,stimulus_24549.png,0.5978832,2.0,16.0,34.0,different,last
499,stimulus_7153.png,stimulus_14941.png,0.8407771,5.0,10.0,34.0,different,last
500,stimulus_41100.png,stimulus_42884.png,0.9864621,26.0,27.0,25.0,different,last
501,stimulus_5968.png,stimulus_9295.png,0.95917445,4.0,6.0,39.0,different,last
502,stimulus_21804.png,stimulus_39525.png,0.9632552,14.0,25.0,4.0,different,last
503,stimulus_17093.png,stimulus_47993.png,0.86623234,11.0,30.0,64.0,different,last
504,stimulus_10480.png,stimulus_25702.png,0.68939275,7.0,17.0,128.0,different,last
505,stimulus_3966.png,stimulus_44982.png,0.51075965,3.0,29.0,95.0,different,last
506,stimulus_8915.png,stimulus_42030.png,0.7557582,6.0,27.0,59.0,different,last
507,stimulus_15323.png,stimulus_44447.png,0.8998968,10.0,28.0,62.0,different,last
508,stimulus_4948.png,stimulus_5945.png,0.752258,4.0,4.0,163.0,same,last
509,stimulus_42015.png,stimulus_43655.png,0.9653692,27.0,28.0,1.0,different,last
510,stimulus_3693.png,stimulus_36713.png,0.65800726,3.0,23.0,153.0,different,last
511,stimulus_28942.png,stimulus_50823.png,0.6239286,19.0,32.0,195.0,different,last
512,stimulus_20556.png,stimulus_42858.png,0.9149909,13.0,27.0,1.0,different,last
513,stimulus_24650.png,stimulus_50625.png,0.94040006,16.0,32.0,61.0,different,last
514,stimulus_32190.png,stimulus_50189.png,0.85222864,21.0,32.0,65.0,different,last
515,stimulus_5833.png,stimulus_39195.png,0.7935476,4.0,25.0,62.0,different,last
516,stimulus_5486.png,stimulus_7300.png,0.9618757,4.0,5.0,32.0,different,last
517,stimulus_38262.png,stimulus_41155.png,0.9543691,24.0,26.0,59.0,different,last
518,stimulus_6750.png,stimulus_43332.png,0.700807,5.0,28.0,33.0,different,last
519,stimulus_35732.png,stimulus_45577.png,0.9790702,23.0,29.0,32.0,different,last
520,stimulus_25575.png,stimulus_30539.png,0.604054,16.0,20.0,227.0,different,last
521,stimulus_6750.png,stimulus_17659.png,0.80049145,5.0,12.0,34.0,different,last
522,stimulus_11195.png,stimulus_23576.png,0.940711,7.0,15.0,67.0,different,last
523,stimulus_32377.png,stimulus_40877.png,0.7813914,21.0,26.0,95.0,different,last
524,stimulus_33275.png,stimulus_37161.png,0.8032404,21.0,24.0,157.0,different,last
525,stimulus_33890.png,stimulus_49097.png,0.7929733,22.0,31.0,128.0,different,last
526,stimulus_14568.png,stimulus_45061.png,0.85862684,10.0,29.0,32.0,different,last
527,stimulus_31442.png,stimulus_45852.png,0.9750284,20.0,29.0,0.0,different,last
528,stimulus_46755.png,stimulus_49111.png,0.8239906,30.0,31.0,128.0,different,last
529,stimulus_16175.png,stimulus_39446.png,0.65893435,11.0,25.0,162.0,different,last
530,stimulus_39454.png,stimulus_47446.png,0.977959,25.0,30.0,6.0,different,last
531,stimulus_22144.png,stimulus_32377.png,0.78562045,14.0,21.0,160.0,different,last
532,stimulus_9652.png,stimulus_36391.png,0.7126144,7.0,23.0,157.0,different,last
533,stimulus_24709.png,stimulus_42843.png,0.9474528,16.0,27.0,97.0,different,last
534,stimulus_32848.png,stimulus_37977.png,0.97329754,21.0,24.0,29.0,different,last
535,stimulus_18314.png,stimulus_45706.png,0.91977894,12.0,29.0,32.0,different,last
536,stimulus_15748.png,stimulus_34921.png,0.9121761,10.0,22.0,1.0,different,last
537,stimulus_6609.png,stimulus_50136.png,0.7487435,5.0,32.0,29.0,different,last
538,stimulus_4992.png,stimulus_5968.png,0.78498787,4.0,4.0,165.0,same,last
539,stimulus_11447.png,stimulus_40937.png,0.79529977,8.0,26.0,98.0,different,last
540,stimulus_20431.png,stimulus_22522.png,0.6245522,13.0,15.0,193.0,different,last
541,stimulus_32476.png,stimulus_45712.png,0.9107472,21.0,29.0,65.0,different,last
542,stimulus_2867.png,stimulus_49861.png,0.4320901,2.0,32.0,146.0,different,last
543,stimulus_581.png,stimulus_3231.png,0.7000742,1.0,3.0,57.0,different,last
544,stimulus_7654.png,stimulus_12049.png,0.9011975,5.0,8.0,62.0,different,last
545,stimulus_26012.png,stimulus_28572.png,0.938836,17.0,18.0,133.0,different,last
546,stimulus_9679.png,stimulus_29206.png,0.8122732,7.0,19.0,66.0,different,last
547,stimulus_39395.png,stimulus_50783.png,0.9739084,25.0,32.0,32.0,different,last
548,stimulus_17641.png,stimulus_36038.png,0.7207041,12.0,23.0,129.0,different,last
549,stimulus_8127.png,stimulus_13168.png,0.9102646,6.0,9.0,33.0,different,last
550,stimulus_1050.png,stimulus_14941.png,0.557916,1.0,10.0,100.0,different,last
551,stimulus_8041.png,stimulus_14165.png,0.74774873,6.0,9.0,188.0,different,last
552,stimulus_18474.png,stimulus_20556.png,0.9728921,12.0,13.0,63.0,different,last
553,stimulus_14165.png,stimulus_39940.png,0.87520134,9.0,25.0,36.0,different,last
