,model_name,image_1,image_2,cosine_similarity,numerosity_1,numerosity_2,area_diff,numerosity_comparison_type,layer
57,clip-vit-base-patch32,stimulus_397.png,stimulus_1558.png,0.9854397,1.0,1.0,192.0,same,9
58,clip-vit-base-patch32,stimulus_397.png,stimulus_1558.png,0.9791717,1.0,1.0,192.0,same,10
59,clip-vit-base-patch32,stimulus_397.png,stimulus_1558.png,0.97691023,1.0,1.0,192.0,same,11
60,clip-vit-base-patch32,stimulus_1063.png,stimulus_1581.png,1.0000001,1.0,1.0,60.0,same,0
61,clip-vit-base-patch32,stimulus_1063.png,stimulus_1581.png,0.9994729,1.0,1.0,60.0,same,1
62,clip-vit-base-patch32,stimulus_1063.png,stimulus_1581.png,0.9997466,1.0,1.0,60.0,same,2
63,clip-vit-base-patch32,stimulus_1063.png,stimulus_1581.png,0.9998585,1.0,1.0,60.0,same,3
64,clip-vit-base-patch32,stimulus_1063.png,stimulus_1581.png,0.999661,1.0,1.0,60.0,same,4
65,clip-vit-base-patch32,stimulus_1063.png,stimulus_1581.png,0.99927354,1.0,1.0,60.0,same,5
66,clip-vit-base-patch32,stimulus_1063.png,stimulus_1581.png,0.9985782,1.0,1.0,60.0,same,6
67,clip-vit-base-patch32,stimulus_1063.png,stimulus_1581.png,0.9973408,1.0,1.0,60.0,same,7
68,clip-vit-base-patch32,stimulus_1063.png,stimulus_1581.png,0.99387527,1.0,1.0,60.0,same,8
69,clip-vit-base-patch32,stimulus_1063.png,stimulus_1581.png,0.9930486,1.0,1.0,60.0,same,9
70,clip-vit-base-patch32,stimulus_1063.png,stimulus_1581.png,0.99151474,1.0,1.0,60.0,same,10
71,clip-vit-base-patch32,stimulus_1063.png,stimulus_1581.png,0.99094945,1.0,1.0,60.0,same,11
72,clip-vit-base-patch32,stimulus_248.png,stimulus_373.png,1.0000001,1.0,1.0,0.0,same,0
73,clip-vit-base-patch32,stimulus_248.png,stimulus_373.png,0.9999154,1.0,1.0,0.0,same,1
74,clip-vit-base-patch32,stimulus_248.png,stimulus_373.png,0.9999262,1.0,1.0,0.0,same,2
75,clip-vit-base-patch32,stimulus_248.png,stimulus_373.png,0.9999221,1.0,1.0,0.0,same,3
76,clip-vit-base-patch32,stimulus_248.png,stimulus_373.png,0.99956477,1.0,1.0,0.0,same,4
77,clip-vit-base-patch32,stimulus_248.png,stimulus_373.png,0.9992101,1.0,1.0,0.0,same,5
78,clip-vit-base-patch32,stimulus_248.png,stimulus_373.png,0.9973429,1.0,1.0,0.0,same,6
79,clip-vit-base-patch32,stimulus_248.png,stimulus_373.png,0.99541306,1.0,1.0,0.0,same,7
80,clip-vit-base-patch32,stimulus_248.png,stimulus_373.png,0.9930305,1.0,1.0,0.0,same,8
81,clip-vit-base-patch32,stimulus_248.png,stimulus_373.png,0.98997355,1.0,1.0,0.0,same,9
82,clip-vit-base-patch32,stimulus_248.png,stimulus_373.png,0.98424613,1.0,1.0,0.0,same,10
83,clip-vit-base-patch32,stimulus_248.png,stimulus_373.png,0.9857453,1.0,1.0,0.0,same,11
84,clip-vit-base-patch32,stimulus_479.png,stimulus_890.png,1.0000001,1.0,1.0,69.0,same,0
85,clip-vit-base-patch32,stimulus_479.png,stimulus_890.png,0.9994924,1.0,1.0,69.0,same,1
86,clip-vit-base-patch32,stimulus_479.png,stimulus_890.png,0.99973714,1.0,1.0,69.0,same,2
87,clip-vit-base-patch32,stimulus_479.png,stimulus_890.png,0.9997834,1.0,1.0,69.0,same,3
88,clip-vit-base-patch32,stimulus_479.png,stimulus_890.png,0.9994825,1.0,1.0,69.0,same,4
89,clip-vit-base-patch32,stimulus_479.png,stimulus_890.png,0.9988239,1.0,1.0,69.0,same,5
90,clip-vit-base-patch32,stimulus_479.png,stimulus_890.png,0.99778795,1.0,1.0,69.0,same,6
91,clip-vit-base-patch32,stimulus_479.png,stimulus_890.png,0.9959234,1.0,1.0,69.0,same,7
92,clip-vit-base-patch32,stimulus_479.png,stimulus_890.png,0.99398005,1.0,1.0,69.0,same,8
93,clip-vit-base-patch32,stimulus_479.png,stimulus_890.png,0.9938189,1.0,1.0,69.0,same,9
94,clip-vit-base-patch32,stimulus_479.png,stimulus_890.png,0.9925735,1.0,1.0,69.0,same,10
95,clip-vit-base-patch32,stimulus_479.png,stimulus_890.png,0.99268353,1.0,1.0,69.0,same,11
96,clip-vit-base-patch32,stimulus_511.png,stimulus_1503.png,1.0000001,1.0,1.0,166.0,same,0
97,clip-vit-base-patch32,stimulus_511.png,stimulus_1503.png,0.9979989,1.0,1.0,166.0,same,1
98,clip-vit-base-patch32,stimulus_511.png,stimulus_1503.png,0.99897206,1.0,1.0,166.0,same,2
99,clip-vit-base-patch32,stimulus_511.png,stimulus_1503.png,0.99926,1.0,1.0,166.0,same,3
100,clip-vit-base-patch32,stimulus_511.png,stimulus_1503.png,0.99923277,1.0,1.0,166.0,same,4
101,clip-vit-base-patch32,stimulus_511.png,stimulus_1503.png,0.99848473,1.0,1.0,166.0,same,5
102,clip-vit-base-patch32,stimulus_511.png,stimulus_1503.png,0.9959659,1.0,1.0,166.0,same,6
103,clip-vit-base-patch32,stimulus_511.png,stimulus_1503.png,0.9926731,1.0,1.0,166.0,same,7
104,clip-vit-base-patch32,stimulus_511.png,stimulus_1503.png,0.98774433,1.0,1.0,166.0,same,8
105,clip-vit-base-patch32,stimulus_511.png,stimulus_1503.png,0.9831929,1.0,1.0,166.0,same,9
106,clip-vit-base-patch32,stimulus_511.png,stimulus_1503.png,0.9794732,1.0,1.0,166.0,same,10
107,clip-vit-base-patch32,stimulus_511.png,stimulus_1503.png,0.98149246,1.0,1.0,166.0,same,11
108,clip-vit-base-patch32,stimulus_1009.png,stimulus_1200.png,1.0000001,1.0,1.0,29.0,same,0
109,clip-vit-base-patch32,stimulus_1009.png,stimulus_1200.png,0.99956304,1.0,1.0,29.0,same,1
110,clip-vit-base-patch32,stimulus_1009.png,stimulus_1200.png,0.9997942,1.0,1.0,29.0,same,2
111,clip-vit-base-patch32,stimulus_1009.png,stimulus_1200.png,0.9998383,1.0,1.0,29.0,same,3
112,clip-vit-base-patch32,stimulus_1009.png,stimulus_1200.png,0.99948317,1.0,1.0,29.0,same,4
113,clip-vit-base-patch32,stimulus_1009.png,stimulus_1200.png,0.9987038,1.0,1.0,29.0,same,5
114,clip-vit-base-patch32,stimulus_1009.png,stimulus_1200.png,0.9976318,1.0,1.0,29.0,same,6
115,clip-vit-base-patch32,stimulus_1009.png,stimulus_1200.png,0.9958351,1.0,1.0,29.0,same,7
116,clip-vit-base-patch32,stimulus_1009.png,stimulus_1200.png,0.9907946,1.0,1.0,29.0,same,8
117,clip-vit-base-patch32,stimulus_1009.png,stimulus_1200.png,0.9916031,1.0,1.0,29.0,same,9
