,model_name,image_1,image_2,cosine_similarity,numerosity_1,numerosity_2,area_diff,numerosity_comparison_type,layer
49,clip-vit-base-patch32,stimulus_1279.png,stimulus_1462.png,0.9924926,1.0,1.0,31.0,same,10
50,clip-vit-base-patch32,stimulus_1279.png,stimulus_1462.png,0.99143213,1.0,1.0,31.0,same,11
51,clip-vit-base-patch32,stimulus_1279.png,stimulus_1462.png,0.94893634,1.0,1.0,31.0,same,12
52,clip-vit-base-patch32,stimulus_870.png,stimulus_887.png,1.0000001,1.0,1.0,0.0,same,0
53,clip-vit-base-patch32,stimulus_870.png,stimulus_887.png,0.9998037,1.0,1.0,0.0,same,1
54,clip-vit-base-patch32,stimulus_870.png,stimulus_887.png,0.99993396,1.0,1.0,0.0,same,2
55,clip-vit-base-patch32,stimulus_870.png,stimulus_887.png,0.99995023,1.0,1.0,0.0,same,3
56,clip-vit-base-patch32,stimulus_870.png,stimulus_887.png,0.9996986,1.0,1.0,0.0,same,4
57,clip-vit-base-patch32,stimulus_870.png,stimulus_887.png,0.9994947,1.0,1.0,0.0,same,5
58,clip-vit-base-patch32,stimulus_870.png,stimulus_887.png,0.9987156,1.0,1.0,0.0,same,6
59,clip-vit-base-patch32,stimulus_870.png,stimulus_887.png,0.998215,1.0,1.0,0.0,same,7
60,clip-vit-base-patch32,stimulus_870.png,stimulus_887.png,0.9945859,1.0,1.0,0.0,same,8
61,clip-vit-base-patch32,stimulus_870.png,stimulus_887.png,0.9931572,1.0,1.0,0.0,same,9
62,clip-vit-base-patch32,stimulus_870.png,stimulus_887.png,0.9924922,1.0,1.0,0.0,same,10
63,clip-vit-base-patch32,stimulus_870.png,stimulus_887.png,0.99276793,1.0,1.0,0.0,same,11
64,clip-vit-base-patch32,stimulus_870.png,stimulus_887.png,0.97290367,1.0,1.0,0.0,same,12
65,clip-vit-base-patch32,stimulus_180.png,stimulus_629.png,1.0000001,1.0,1.0,96.0,same,0
66,clip-vit-base-patch32,stimulus_180.png,stimulus_629.png,0.9994607,1.0,1.0,96.0,same,1
67,clip-vit-base-patch32,stimulus_180.png,stimulus_629.png,0.9994228,1.0,1.0,96.0,same,2
68,clip-vit-base-patch32,stimulus_180.png,stimulus_629.png,0.9995717,1.0,1.0,96.0,same,3
69,clip-vit-base-patch32,stimulus_180.png,stimulus_629.png,0.9992745,1.0,1.0,96.0,same,4
70,clip-vit-base-patch32,stimulus_180.png,stimulus_629.png,0.99884045,1.0,1.0,96.0,same,5
