,image_type,image_1,image_2,mean_pix_diff
0,dots,stimulus_811.png,stimulus_1226.png,18.801044351906935
1,dots,stimulus_453.png,stimulus_1630.png,21.7693979920829
2,dots,stimulus_612.png,stimulus_836.png,235.00109429278575
3,dots,stimulus_58.png,stimulus_392.png,17.00873230954532
4,dots,stimulus_1006.png,stimulus_1606.png,22.169255513693347
5,dots,stimulus_389.png,stimulus_1493.png,227.76074646925332
6,dots,stimulus_763.png,stimulus_934.png,21.486380094153244
7,dots,stimulus_1201.png,stimulus_1564.png,229.20168770793398
8,dots,stimulus_377.png,stimulus_465.png,234.49623607347183
9,dots,stimulus_162.png,stimulus_722.png,235.8451759314341
10,dots,stimulus_2206.png,stimulus_2460.png,232.07129794875183
11,dots,stimulus_1870.png,stimulus_2572.png,232.88332929399755
12,dots,stimulus_2888.png,stimulus_3114.png,25.85172699965482
13,dots,stimulus_1946.png,stimulus_3283.png,225.696770734645
14,dots,stimulus_2302.png,stimulus_2902.png,22.518636026468666
15,dots,stimulus_2365.png,stimulus_2645.png,24.384875257966673
16,dots,stimulus_2617.png,stimulus_3248.png,23.016260162601625
17,dots,stimulus_1770.png,stimulus_1894.png,19.539486343372918
18,dots,stimulus_1835.png,stimulus_3353.png,226.87072656634425
19,dots,stimulus_2197.png,stimulus_3143.png,228.93743436079347
20,dots,stimulus_3609.png,stimulus_4801.png,226.23060935216398
21,dots,stimulus_3884.png,stimulus_4668.png,227.1775545126725
22,dots,stimulus_4671.png,stimulus_4903.png,28.611533405306954
23,dots,stimulus_3436.png,stimulus_3565.png,17.575047186786232
24,dots,stimulus_4398.png,stimulus_4448.png,230.7014269871696
25,dots,stimulus_4134.png,stimulus_5069.png,226.426333531628
26,dots,stimulus_3543.png,stimulus_3938.png,19.89541058012206
27,dots,stimulus_4726.png,stimulus_4747.png,28.849428250380065
28,dots,stimulus_3585.png,stimulus_4519.png,229.94786319136904
29,dots,stimulus_4173.png,stimulus_4613.png,226.55713456863566
30,dots,stimulus_6258.png,stimulus_6549.png,27.681619553322903
31,dots,stimulus_5930.png,stimulus_6149.png,28.548365537855922
32,dots,stimulus_5299.png,stimulus_6305.png,226.90672072032373
33,dots,stimulus_5189.png,stimulus_6404.png,223.48865681068736
34,dots,stimulus_5624.png,stimulus_6581.png,225.09178105331188
35,dots,stimulus_5543.png,stimulus_5996.png,230.89094527801646
36,dots,stimulus_5086.png,stimulus_5188.png,18.350629034745634
37,dots,stimulus_5631.png,stimulus_6709.png,23.39995299681994
38,dots,stimulus_6064.png,stimulus_6090.png,227.63546830590258
39,dots,stimulus_5985.png,stimulus_6177.png,27.548909012125353
40,dots,stimulus_7368.png,stimulus_8400.png,222.05373051020484
41,dots,stimulus_6799.png,stimulus_8408.png,220.16169093940263
42,dots,stimulus_7297.png,stimulus_7788.png,224.85253486681208
43,dots,stimulus_7833.png,stimulus_8053.png,32.23908461306835
44,dots,stimulus_7226.png,stimulus_7656.png,25.140495442894807
45,dots,stimulus_7731.png,stimulus_8074.png,225.3974559528793
46,dots,stimulus_7366.png,stimulus_7443.png,27.53682038175395
47,dots,stimulus_7332.png,stimulus_8165.png,223.58925096026027
48,dots,stimulus_7490.png,stimulus_7796.png,226.7818097693172
49,dots,stimulus_6939.png,stimulus_7426.png,230.13680128671206
50,dots,stimulus_9865.png,stimulus_9900.png,33.02499247214694
51,dots,stimulus_9655.png,stimulus_9671.png,29.430402244401847
52,dots,stimulus_9152.png,stimulus_9787.png,27.32240509396964
53,dots,stimulus_9185.png,stimulus_9703.png,224.51784284780518
